entity_name,entity_type,country,aum_usd,contact_count,transaction_count,completeness_score,red_flags
Palmer College of Chiropractic,Endowment,United States,269720272,1,0,0.2471,no_transactions_or_rfps
Development Bank of Southern Africa,Development Bank,South Africa,5799921499,1,0,0.2471,no_transactions_or_rfps
Al Imtiaz Investment Group,Asset Manager,Kuwait,759811929,1,0,0.2464,no_transactions_or_rfps
Florida Prepaid College Board,Endowment,United States,16452560000,1,0,0.2452,no_transactions_or_rfps
Georgetown University,Endowment,United States,5656709000,1,0,0.2452,no_transactions_or_rfps
Asian Infrastructure Investment Bank,Development Bank,China,53048585000,1,0,0.2440,no_transactions_or_rfps
Labouré College,Endowment,United States,46254631,1,0,0.2433,no_transactions_or_rfps
Nebraska Wesleyan University,Endowment,United States,153945000,1,0,0.2433,no_transactions_or_rfps
New York University,Endowment,United States,32588729000,1,0,0.2433,no_transactions_or_rfps
Nanyang Technological University,Endowment,Singapore,5824412822,1,0,0.2432,no_transactions_or_rfps
Adelphi University,Endowment,United States,595552292,1,0,0.2414,no_transactions_or_rfps
Brock University,Endowment,Canada,840742000,1,0,0.2414,no_transactions_or_rfps
Colorado School of Mines,Endowment,United States,783540000,1,0,0.2414,no_transactions_or_rfps
Concordia College,Endowment,United States,365441053,1,0,0.2414,no_transactions_or_rfps
Grand Valley State University,Endowment,United States,1480022000,1,0,0.2414,no_transactions_or_rfps
KU Endowment,Endowment,United States,2766269000,1,0,0.2414,no_transactions_or_rfps
Bank of Jamaica,Central Bank,Jamaica,6825459684,1,0,0.2414,no_transactions_or_rfps
Asian Development Bank,Development Bank,Philippines,271741000000,1,0,0.2414,no_transactions_or_rfps
Development Bank of Japan,Development Bank,Japan,161985459312,1,0,0.2414,no_transactions_or_rfps
Palestine Investment Fund,Sovereign Wealth Fund,Palestine,957083000,1,0,0.2395,no_transactions_or_rfps
Bolton Hospice Ltd,Endowment,United Kingdom,18061309,1,0,0.2395,no_transactions_or_rfps
Guide Dogs for the Blind,Endowment,United States,485530000,1,0,0.2395,no_transactions_or_rfps
Minneapolis College of Art and Design,Endowment,United States,102060839,1,0,0.2395,no_transactions_or_rfps
Nature Conservancy,Endowment,United States,9575386000,1,0,0.2395,no_transactions_or_rfps
California Infrastructure and Economic Development Bank,Development Bank,United States,997440779,1,0,0.2395,no_transactions_or_rfps
Development Bank of Kenya,Development Bank,Kenya,122640006,1,0,0.2395,no_transactions_or_rfps
Mauritius Investment Corporation,Sovereign Wealth Fund,Mauritius,1847222723,1,0,0.2387,no_transactions_or_rfps
Turkey Wealth Fund,Sovereign Wealth Fund,Turkey,279261454214,1,0,0.2384,no_transactions_or_rfps
Solidium,Sovereign Wealth Fund,Finland,8702483872,1,0,0.2376,no_transactions_or_rfps
Auburn Theological Seminary,Endowment,United States,30466697,1,0,0.2376,no_transactions_or_rfps
Manhattanville College,Endowment,United States,90920806,1,0,0.2376,no_transactions_or_rfps
New Mexico State University & Foundation,Endowment,United States,819918479,1,0,0.2376,no_transactions_or_rfps
Peirce College,Endowment,United States,35901123,1,0,0.2376,no_transactions_or_rfps
National Bank of Angola,Central Bank,Angola,10832800000,1,0,0.2376,no_transactions_or_rfps
Qatar Central Bank,Central Bank,Qatar,75170904503,1,0,0.2376,no_transactions_or_rfps
British International Investment,Development Bank,United Kingdom,9907137702,1,0,0.2365,no_transactions_or_rfps
Export Development Bank of Egypt,Development Bank,Egypt,3901324423,1,0,0.2365,no_transactions_or_rfps
Fondo de Ahorro de Panama,Sovereign Wealth Fund,Panama,1432827135,1,0,0.2357,no_transactions_or_rfps
Polish Development Fund,Sovereign Wealth Fund,Poland,20251547110,1,0,0.2357,no_transactions_or_rfps
Baylor University,Endowment,United States,3933434000,1,0,0.2357,no_transactions_or_rfps
Macalester College,Endowment,United States,1136616000,1,0,0.2357,no_transactions_or_rfps
Pitzer College,Endowment,United States,315510897,1,0,0.2357,no_transactions_or_rfps
Central Bank of Solomon Islands,Central Bank,Solomon Islands,612940000,1,0,0.2357,no_transactions_or_rfps
National Investment Corporation,Sovereign Wealth Fund,Kazakhstan,99399644,1,0,0.2338,no_transactions_or_rfps
Hope College,Endowment,United States,496374000,1,0,0.2338,no_transactions_or_rfps
Lafayette College,Endowment,United States,1649595000,1,0,0.2338,no_transactions_or_rfps
Central Bank of the United Arab Emirates,Central Bank,United Arab Emirates,141980792069,1,0,0.2338,no_transactions_or_rfps
Bethany Lutheran College,Endowment,United States,102688428,1,0,0.2319,no_transactions_or_rfps
East Carolina University,Endowment,United States,209953750,1,0,0.2319,no_transactions_or_rfps
Central Bank of Malta,Central Bank,Malta,6742100000,1,0,0.2319,no_transactions_or_rfps
South African Reserve Bank,Central Bank,South Africa,62330900000,1,0,0.2319,no_transactions_or_rfps
Council of Europe Development Bank,Development Bank,France,33649104067,1,0,0.2319,no_transactions_or_rfps
Goucher College,Endowment,United States,461841000,1,0,0.2300,no_transactions_or_rfps
Le Moyne College,Endowment,United States,340453574,1,0,0.2300,no_transactions_or_rfps
Occidental College,Endowment,United States,924234652,1,0,0.2300,no_transactions_or_rfps
Monetary Authority of Brunei Darussalam,Central Bank,Brunei,4224950000,1,0,0.2300,no_transactions_or_rfps
Bank of Zambia,Central Bank,Zambia,3891590000,3,0,0.2294,no_transactions_or_rfps
Timor-Leste Petroleum Fund,Sovereign Wealth Fund,East Timor,16921859000,1,0,0.2281,no_transactions_or_rfps
College of Coastal Georgia,Endowment,United States,14249154,1,0,0.2281,no_transactions_or_rfps
Caribbean Development Bank,Development Bank,Barbados,2087424000,1,0,0.2275,no_transactions_or_rfps
Mumtalakat Holding,Sovereign Wealth Fund,Bahrain,17641603706,1,0,0.2274,no_transactions_or_rfps
Hellenic Corporation of Assets and Participations S.A.,Sovereign Wealth Fund,Greece,7603983065,1,0,0.2262,no_transactions_or_rfps
